Material;~ Fe;~ C;~ P;~ Pb;~ S;~ Si;~ Al;~ B;~ Cr;~ Cu;~ Mn;~ Mo;~ N;~ Nb;~ Ni;~ Ti;~ V;~ W;~ Sn;minElongation;minYield;minTensileStrenght
Amstrong 355MC;97,79;0,10;0,02;0;0,02;0,03;0,02;0,00;0,00;0,00;1,40;0,00;0;0,14;0,00;0,22;0,27;0,00;0,00;21,00;355,00;430,00
AMSTRONG 500MC;97,44;0,12;0,02;0;0,01;0,03;0,02;0,00;0,00;0,00;1,70;0,00;0;0,16;0,00;0,22;0,27;0,00;0,00;14,00;500,00;560,00
DUCTIBOR1000;96,89;0,10;0,03;0;0,01;0,60;0,02;0,01;0,20;0,20;1,80;0,00;0;0,10;0,00;0,05;0,00;0,00;0,00;6,00;800,00;1000,00
DUCTIBOR450;98,60;0,10;0,03;0;0,03;0,06;0,16;0,00;0,00;0,20;0,60;0,00;0;0,08;0,00;0,15;0,00;0,00;0,00;14,00;300,00;450,00
DUCTIBOR500;97,04;0,10;0,03;0;0,03;0,50;0,02;0,00;0,20;0,20;1,70;0,00;0;0,10;0,00;0,09;0,00;0,00;0,00;5,00;330,00;550,00
USIBOR1500;97,25;0,25;0,03;0;0,01;0,40;0,06;0,01;0,35;0,20;1,40;0,00;0;0,00;0,00;0,05;0,00;0,00;0,00;5,00;1050,00;1400,00
USIBOR2000;96,33;0,36;0,03;0;0,01;0,80;0,35;0,01;0,50;0,20;0,80;0,50;0;0,05;0,00;0,07;0,00;0,00;0,00;5,00;1400,00;1800,00
S235;98,24;0,16;0,03;0;0,03;0,35;0,00;0,00;0,00;0,00;1,20;0,00;0;0,00;0,00;0,00;0,00;0,00;0,00;25,00;235,00;360,00
C45;96,87;0,46;0,05;0;0,05;0,40;0,00;0,00;0,61;0,00;0,65;0,31;0;0,00;0,61;0,00;0,00;0,00;0,00;5,00;230,00;530,00
C60;96,62;0,61;0,05;0;0,05;0,40;0,00;0,00;0,61;0,00;0,75;0,31;0;0,00;0,61;0,00;0,00;0,00;0,00;5,00;260,00;620,00
P265GH ;96,38;0,20;0,03;0;0,01;0,40;0,02;0,00;0,48;0,52;1,10;0,26;0;0,03;0,48;0,03;0,02;0,00;0,06;21,00;185,00;390,00
34CrNiMo6;95,32;0,34;0,04;0;0,04;0,40;0,00;0,00;1,50;0,00;0,65;0,23;0;0,00;1,50;0,00;0,00;0,00;0,00;8,00;490,00;700,00
42CrMo4;97,09;0,42;0,035;0;0,035;0,400;0,000;0,000;1,050;0,000;0,750;0,225;0;0,000;0,000;0,000;0,000;0,000;0,000;4,000;390,000;600,000
E295;99,78;0,000;0,045;0;0,045;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,12;0,011;0,000;0,000;0,000;0,000;0,000;10,000;225,000;440,000
